m2r_anggaran	nmuserid	nmuser	user	users	99	token_match
m2r_anggaran	nmuserid	nmuser	user	m0_user_branch	88	token_match
m2r_ap_card	apuserid	apuser	user	m0_user	100	alias_core
m2r_ap_card	apuserid	apuser	user	users	99	token_match
m2r_ap_card	apuserid	apuser	user	m0_user_branch	88	token_match
m2r_ap_card_detail	apuserid	apuser	user	m0_user	100	alias_core
m2r_ap_card_detail	apuserid	apuser	user	users	99	token_match
m2r_ap_card_detail	apuserid	apuser	user	m0_user_branch	88	token_match
m2r_ap_voucher	apuserid	apuser	user	m0_user	100	alias_core
m2r_ap_voucher	apuserid	apuser	user	users	99	token_match
m2r_ap_voucher	apuserid	apuser	user	m0_user_branch	88	token_match
m2r_ap_voucher_aging	apuserid	apuser	user	m0_user	100	alias_core
m2r_ap_voucher_aging	apuserid	apuser	user	users	99	token_match
m2r_ap_voucher_aging	apuserid	apuser	user	m0_user_branch	88	token_match
m2r_ap_voucher_aging_detail	apuserid	apuser	user	m0_user	100	alias_core
m2r_ap_voucher_aging_detail	apuserid	apuser	user	users	99	token_match
m2r_ap_voucher_aging_detail	apuserid	apuser	user	m0_user_branch	88	token_match
m2r_ap_voucher_detail	apuserid	apuser	user	m0_user	100	alias_core
m2r_ap_voucher_detail	apuserid	apuser	user	users	99	token_match
m2r_ap_voucher_detail	apuserid	apuser	user	m0_user_branch	88	token_match
m2r_appostage_card	apuserid	apuser	user	m0_user	100	alias_core
m2r_appostage_card	apuserid	apuser	user	users	99	token_match
m2r_appostage_card	apuserid	apuser	user	m0_user_branch	88	token_match
m2r_appostage_voucher	apuserid	apuser	user	m0_user	100	alias_core
m2r_appostage_voucher	apuserid	apuser	user	users	99	token_match
m2r_appostage_voucher	apuserid	apuser	user	m0_user_branch	88	token_match
m2r_ar_card	aruserid	aruser	user	m0_user	100	alias_core
m2r_ar_card	aruserid	aruser	user	users	99	token_match
m2r_ar_card	aruserid	aruser	user	m0_user_branch	88	token_match
m2r_ar_card_detail	aruserid	aruser	user	m0_user	100	alias_core
m2r_ar_card_detail	aruserid	aruser	user	users	99	token_match
m2r_ar_card_detail	aruserid	aruser	user	m0_user_branch	88	token_match
m2r_ar_voucher	aruserid	aruser	user	m0_user	100	alias_core
